establishment.name,address,city,time.in.h,time.in.m,time.in.ampm,time.out.h,time.out.m,time.out.ampm,inspection.date,cfsm,purpose.of.inspection,risk.type,permit.number,current.score,current.grade,template_type,date_time_in,date_time_out,inspection_duration
100% NATURAL/ MULTI JUICE INC,4166 BUFORD HIGHWAY STE. N4,ATLANTA,12,45,PM,2,10,PM,2016-01-04,none/violation,Routine,1,887766,95,A,Food,2016-01-04T12:45:00Z,2016-01-04T14:10:00Z,1.4166666666666667
100% NATURAL/ MULTI JUICE INC,4166 BUFORD HIGHWAY STE. N4,ATLANTA,1,45,PM,3,20,PM,2015-09-08,none*,Routine,1,887766,87,B,Food,2015-09-08T13:45:00Z,2015-09-08T15:20:00Z,1.5833333333333333
100% NATURAL/ MULTI JUICE INC,4166 BUFORD HIGHWAY STE. N4,ATLANTA,1,15,PM,2,50,PM,2015-08-24,90 Days from permitting date to Employ/Obtain CFSM,Follow-Up,1,887766,73,C,Food,2015-08-24T13:15:00Z,2015-08-24T14:50:00Z,1.5833333333333333
100% NATURAL/ MULTI JUICE INC,4166 BUFORD HIGHWAY STE. N4,ATLANTA,3,30,PM,5,0,PM,2015-07-07,60 Days to Obtain CFSM,Initial,1,887766,100,A,Food,2015-07-07T15:30:00Z,2015-07-07T17:00:00Z,1.5
1990 KABOB,4897 BUFORD HIGHWAY SUITE 123,CHAMBLEE,3,20,PM,4,10,PM,2015-10-07,Juanjuan Wang exp 5/3/2020,Initial,2,887719,97,A,Food,2015-10-07T15:20:00Z,2015-10-07T16:10:00Z,0.8333333333333334
529 BAR,529 FLAT SHOALS AVENUE  S. E.,ATLANTA,5,35,PM,6,25,PM,2015-01-10,N/A,Routine,2,886576,90,A,Food,2015-01-10T17:35:00Z,2015-01-10T18:25:00Z,0.8333333333333334
A BOKAY CATERING & FLOWERS INC,4339 HUGH HOWELL ROAD,TUCKER,10,15,AM,11,15,AM,2015-06-18,Joann Morgan,Routine,3,443349,83,B,Food,2015-06-18T10:15:00Z,2015-06-18T11:15:00Z,1
A PEACH OF A PARTY,3450 HARDEE AVENUE,CHAMBLEE,11,20,AM,12,30,PM,2015-05-15,David Plant,Routine,2,884323,92,A,Food,2015-05-15T11:20:00Z,2015-05-15T12:30:00Z,1.1666666666666667
A-PRIORI RESTAURANT,"5953 BUFORD HIGHWAY, SUITE 108-109",DORAVILLE,1,15,PM,2,25,PM,2014-12-17,90 day deadline,Initial,2,887303,100,A,Food,2014-12-17T13:15:00Z,2014-12-17T14:25:00Z,1.1666666666666667
A.M.T CAFFE,"447 NORTH INDIAN CREEK DRIVE, SUITE A",CLARKSTON,1,25,PM,2,55,PM,2015-07-08,Not In Compliance,Routine,2,887299,80,B,Food,2015-07-08T13:25:00Z,2015-07-08T14:55:00Z,1.5
A.M.T CAFFE,"447 NORTH INDIAN CREEK DRIVE, SUITE A",CLARKSTON,2,35,PM,4,10,PM,2015-03-23,Due By: 3/29/15,Follow-Up,2,887299,81,B,Food,2015-03-23T14:35:00Z,2015-03-23T16:10:00Z,1.5833333333333333
A.M.T CAFFE,"447 NORTH INDIAN CREEK DRIVE, SUITE A",CLARKSTON,2,20,PM,4,5,PM,2015-02-23,Within 90 Days of Permitting,Routine,2,887299,79,C,Food,2015-02-23T14:20:00Z,2015-02-23T16:05:00Z,1.75
A.M.T CAFFE,"447 NORTH INDIAN CREEK DRIVE, SUITE A",CLARKSTON,11,0,AM,11,45,AM,2014-12-29,Within 90 Days of Permitting,Initial,2,887299,99,A,Food,2014-12-29T11:00:00Z,2014-12-29T11:45:00Z,0.75
ACAPULCOS,4095 PLEASANTDALE ROAD,DORAVILLE,9,0,AM,10,5,AM,2015-04-30,Li Ting Huang (03-01-2020),Routine,2,885744,95,A,Food,2015-04-30T09:00:00Z,2015-04-30T10:05:00Z,1.0833333333333333
ADDIS MART,3667 CLAIRMONT ROAD,CHAMBLEE,3,0,PM,4,15,PM,2015-09-02,Adafre Seife,Routine,2,882280,96,A,Food,2015-09-02T15:00:00Z,2015-09-02T16:15:00Z,1.25
ADDIS MART,3667 CLAIRMONT ROAD,CHAMBLEE,2,15,PM,4,25,PM,2015-08-24,Adafre Seife,Routine,2,882280,56,U,Food,2015-08-24T14:15:00Z,2015-08-24T16:25:00Z,2.1666666666666665
ADDIS MART,3667 CLAIRMONT ROAD,CHAMBLEE,3,15,PM,4,20,PM,2015-04-21,Adafre Seife,Routine,2,882280,87,B,Food,2015-04-21T15:15:00Z,2015-04-21T16:20:00Z,1.0833333333333333
ADDIS MART,3667 CLAIRMONT ROAD,CHAMBLEE,3,30,PM,4,45,PM,2014-12-30,Not Posted,Follow-Up,2,882280,81,B,Food,2014-12-30T15:30:00Z,2014-12-30T16:45:00Z,1.25
ADDIS MART,3667 CLAIRMONT ROAD,CHAMBLEE,4,15,PM,6,0,PM,2014-12-17,Not Posted,Routine,2,882280,60,U,Food,2014-12-17T16:15:00Z,2014-12-17T18:00:00Z,1.75
AJC CAFE,223 PERIMETER CENTER PARKWAY,DUNWOODY,11,10,AM,1,0,PM,2015-05-06,William Phillips (4/19/19),Routine,2,885004,93,A,Food,2015-05-06T11:10:00Z,2015-05-06T13:00:00Z,1.8333333333333333
ALL ISLAND CAFE,4747 MEMORIAL DRIVE,DECATUR,12,40,PM,2,50,PM,2015-06-03,Samantha Bailey,Routine,3,886589,81,B,Food,2015-06-03T12:40:00Z,2015-06-03T14:50:00Z,2.1666666666666665
ALL ISLAND CAFE,4747 MEMORIAL DRIVE,DECATUR,2,25,PM,4,35,PM,2014-12-04,Samantha Bailey,Routine,3,886589,81,B,Food,2014-12-04T14:25:00Z,2014-12-04T16:35:00Z,2.1666666666666665
ALLGOOD ELEMENTARY SCHOOL,659 ALLGOOD ROAD,STONE MOUNTAIN,7,45,AM,9,50,AM,2015-10-01,Tracy R. Reed,Routine,2,660020,92,A,Food,2015-10-01T07:45:00Z,2015-10-01T09:50:00Z,2.0833333333333335
ALLGOOD ELEMENTARY SCHOOL,659 ALLGOOD ROAD,STONE MOUNTAIN,10,10,AM,12,5,PM,2015-04-02,Beau Martin,Routine,2,660020,89,B,Food,2015-04-02T10:10:00Z,2015-04-02T12:05:00Z,1.9166666666666667
ALONZO A. CRIM HIGH SCHOOL,"256 CLIFTON STREET, SE",ATLANTA,12,0,PM,1,35,PM,2015-04-28,Christopher Crossfield,Routine,2,662759,97,A,Food,2015-04-28T12:00:00Z,2015-04-28T13:35:00Z,1.5833333333333333
