Zip,Median,Mean,Pop
01001,"56,663","66,688","16,445"
01002,"49,853","75,063","28,069"
01003,"28,462","35,121","8,491"
01005,"75,423","82,442","4,798"
01007,"79,076","85,802","12,962"
01008,"63,980","78,391","1,244"
01009,"51,452","66,737",889
01010,"75,625","80,919","3,340"
01011,"63,476","77,443","1,323"
01012,"58,750","74,722",677
01013,"36,578","46,179","22,907"
01020,"50,058","58,516","29,626"
01022,"50,440","60,797","2,124"
01026,"60,320","71,505","1,052"
01027,"58,573","66,613","17,452"
01028,"80,252","94,891","14,143"
01029,"62,955","97,075",663
01030,"71,106","81,727","11,702"
01031,"61,250","76,417","1,192"
01032,"67,692","79,796",498
01034,"63,980","78,391","1,910"
01035,"69,911","73,973","4,801"
01036,"78,869","95,493","5,089"
01037,"61,250","76,417",627
01038,"53,939","72,430","2,557"
01039,"66,284","78,497","1,291"
01040,"35,549","43,615","39,827"
01050,"62,097","70,566","2,380"
01053,"60,477","77,611","1,720"
01054,"67,831","86,678","1,656"
01056,"63,318","72,027","21,205"
01057,"73,254","78,485","8,474"
01060,"48,069","67,478","15,578"
01062,"60,686","82,398","11,283"
01063,"40,694","32,047",393
01066,"53,939","72,430",71
01068,"77,396","81,314","1,651"
01069,"50,345","65,297","8,789"
01070,"60,320","71,505",573
01071,"63,980","78,391","1,518"
01072,"67,831","86,678","1,503"
01073,"80,738","94,452","5,366"
01074,"75,423","82,442",315
01075,"63,053","76,027","17,179"
01077,"73,645","81,585","8,842"
01079,"51,452","66,737",625
01080,"50,100","59,535","2,208"
01081,"65,917","76,367","1,581"
01082,"51,936","60,093","10,125"
01083,"55,030","70,156","2,887"
01084,"58,750","74,722",158
01085,"57,598","68,897","40,392"
01086,"93,611","83,650",323
01088,"53,939","72,430",622
01089,"53,711","64,226","27,894"
01092,"55,030","70,156","1,215"
01093,"59,722","72,440",340
01094,"61,250","76,417",340
01095,"89,486","101,878","13,572"
01096,"66,148","78,920","2,143"
01097,"63,980","78,391",113
01098,"60,320","71,505","1,212"
01103,"16,963","25,747","2,731"
01104,"35,380","43,969","22,078"
01105,"17,756","27,144","12,816"
01106,"91,889","134,662","15,880"
01107,"23,557","33,974","11,615"
01108,"37,411","48,866","26,060"
01109,"34,638","44,049","30,683"
01118,"55,853","62,546","14,283"
01119,"45,184","52,187","13,170"
01128,"63,177","66,605","3,040"
01129,"58,704","66,403","6,982"
01151,"34,175","50,951","8,302"
01199,"48,306","58,759",14
01201,"46,765","57,694","43,838"
01220,"38,379","50,308","8,947"
01222,"47,145","68,665",821
01223,"48,478","71,204","2,287"
01224,"66,458","82,491",197
01225,"57,419","75,267","3,264"
01226,"57,505","70,710","7,099"
01229,"55,096","70,740",129
01230,"53,584","73,996","8,654"
01235,"63,877","73,062","2,597"
01236,"55,718","74,247","1,656"
01237,"69,659","87,759","2,426"
01238,"51,053","64,187","6,110"
01240,"60,458","74,117","4,787"
01242,"60,604","74,264",254
01243,"60,320","71,505",360
01244,"57,917","73,592",136
01245,"63,152","90,383",989
01247,"38,405","48,295","16,957"
01253,"62,955","97,075",607
01254,"79,145","103,371","1,070"
01255,"62,955","97,075",824
01256,"54,167","59,862",701
01257,"47,145","68,665","2,223"
01258,"55,764","80,635",401
01259,"57,917","73,592",640
01260,"53,297","67,749",225
01262,"55,096","70,740","1,357"
01264,"63,250","89,918",160
01266,"64,328","79,025","1,681"
01267,"69,925","104,709","8,683"
01270,"70,662","76,919",761
01301,"47,833","54,338","18,444"
01330,"70,326","81,554","1,512"
01331,"49,110","59,949","12,856"
01337,"57,550","68,074","2,649"
01338,"56,596","67,203",184
01339,"6,531","7,755",181
01341,"70,326","81,554","1,743"
01342,"61,912","77,805","1,140"
01343,"54,167","59,862",73
01344,"54,836","62,158","1,216"
01347,"50,189","64,302",214
01349,"51,401","63,743","1,116"
01351,"50,189","64,302","2,301"
01354,"57,550","68,074","1,367"
01355,"67,831","86,678",820
01360,"70,606","75,984","2,952"
01364,"44,676","51,820","7,633"
01366,"68,374","75,325","1,186"
01368,"61,950","70,261","1,256"
01370,"53,003","62,787","4,020"
01373,"61,438","76,643","4,618"
01375,"59,722","72,440","3,769"
01376,"36,099","49,132","5,149"
01378,"54,836","62,158",742
01379,"54,836","62,158",949
01420,"48,606","60,461","39,333"
01430,"79,875","81,308","5,551"
01431,"80,143","92,672","2,833"
01432,"55,863","70,682","7,008"
01434,"119,016","144,183","1,017"
01436,"66,138","70,269","3,097"
01438,"66,138","70,269",413
01440,"51,232","61,725","20,904"
01450,"123,278","142,339","9,547"
01451,"141,274","170,088","4,922"
01452,"82,443","89,101","3,901"
01453,"57,280","69,264","41,066"
01460,"103,751","114,888","8,147"
01462,"84,911","92,795","9,475"
01463,"85,403","96,368","11,120"
