business_id,name,address,city,state,postal_code,date,score
1-32000,cue,13700 HIGHWAY 9 STE 300,MILTON,GA,30004,2014/06/19,96
FSP-060-001693,1 Kept,2293 PEACHTREE RD NE STE B,ATLANTA,GA,30309,2014/05/02,100
FSP-060-001631,10,990 PIEDMONT AVE,ATLANTA,GA,30309,2014/06/24,88
FSP-060-001631,10,990 PIEDMONT AVE,ATLANTA,GA,30309,2014/01/02,91
FSP-060-001991,10 Degrees South,4183 ROSWELL RD,ATLANTA,GA,30342,2014/05/12,99
(1-4),103 West Lounge,103 WEST PACES FERRY RD,ATLANTA,GA,30318,2014/12/12,100
(1-4),103 West Lounge,103 WEST PACES FERRY RD,ATLANTA,GA,30318,2014/02/19,98
(1-5),103 West Restaurant,103 WEST PACES FERRY RD,ATLANTA,GA,30318,2014/12/22,100
(1-5),103 West Restaurant,103 WEST PACES FERRY RD,ATLANTA,GA,30318,2014/12/12,83
(1-5),103 West Restaurant,103 WEST PACES FERRY RD,ATLANTA,GA,30318,2014/02/19,93
1-916,112 MegaPlex The Crowes Nest,5495 OLD NATIONAL HWY STE B-13,COLLEGE PARK,GA,30349,2014/12/22,95
1-916,112 MegaPlex The Crowes Nest,5495 OLD NATIONAL HWY STE B-13,COLLEGE PARK,GA,30349,2014/05/02,99
1-916,112 MegaPlex The Crowes Nest,5495 OLD NATIONAL HWY STE B-13,COLLEGE PARK,GA,30349,2014/04/25,66
(2-31768),180 Degrees Kitchen,1300 JOSEPH E. BOONE BLVD,ATLANTA,GA,30314,2014/09/18,98
(2-31768),180 Degrees Kitchen,1300 JOSEPH E. BOONE BLVD,ATLANTA,GA,30314,2014/06/24,91
(1-13),1st Methodist Church,360 PEACHTREE ST N,ATLANTA,GA,30308,2014/02/10,96
1-31657,2 Mato,200 PIEDMONT AVE,ATLANTA,GA,30334,2014/05/16,97
1-31004,255 Peters St Lounge,255 PETERS ST,ATLANTA,GA,30313,2014/06/19,99
1-31004,255 Peters St Lounge,255 PETERS ST,ATLANTA,GA,30313,2014/06/11,77
1-26637,285 West Soul Food,2636 MARTIN LUTHER KING JR. DR STE 10,ATLANTA,GA,30311,2014/12/09,85
1-26637,285 West Soul Food,2636 MARTIN LUTHER KING JR. DR STE 10,ATLANTA,GA,30311,2014/05/21,98
1-26637,285 West Soul Food,2636 MARTIN LUTHER KING JR. DR STE 10,ATLANTA,GA,30311,2014/05/19,78
1-32045,2nd Floor Atrium,250 SPRING ST,ATLANTA,GA,30303,2014/07/10,100
1-32045,2nd Floor Atrium,250 SPRING ST,ATLANTA,GA,30303,2014/01/09,100
FSP-060-000978,3 Brothers Catering and EventsLLC,11670 JONES BRIDGE RD STE A,ALPHARETTA,GA,30005,2014/10/08,95
FSP-060-000437,3376 Peachtree Road Atlanta Hotel LL IncEmployee Kitchen,3376 PEACHTREE RD,ATLANTA,GA,30326,2014/12/12,95
FSP-060-000437,3376 Peachtree Road Atlanta Hotel LL IncEmployee Kitchen,3376 PEACHTREE RD,ATLANTA,GA,30326,2014/05/07,87
FSP-060-000439,3376 Peachtree RoadAtlanta Hotel LL IncBanquet Hall,3376 PEACHTREE RD,ATLANTA,GA,30326,2014/12/12,99
FSP-060-000439,3376 Peachtree RoadAtlanta Hotel LL IncBanquet Hall,3376 PEACHTREE RD,ATLANTA,GA,30326,2014/05/07,90
FSP-060-000440,3376 Peachtree RoadAtlanta Hotel LL IncLobby BarCafe,3376 PEACHTREE RD,ATLANTA,GA,30326,2014/12/12,96
FSP-060-000440,3376 Peachtree RoadAtlanta Hotel LL IncLobby BarCafe,3376 PEACHTREE RD,ATLANTA,GA,30326,2014/05/07,93
FSP-060-000435,3376 Peachtree RoadAtlanta Hotel LL IncMain Kitchen,3376 PEACHTREE RD,ATLANTA,GA,30326,2014/12/12,100
FSP-060-000435,3376 Peachtree RoadAtlanta Hotel LL IncMain Kitchen,3376 PEACHTREE RD,ATLANTA,GA,30326,2014/05/07,93
FSP-060-002050,360 Cafe,1747 METROPOLITAN PKWY,ATLANTA,GA,30315,2014/08/15,93
FSP-060-002050,360 Cafe,1747 METROPOLITAN PKWY,ATLANTA,GA,30315,2014/02/03,95
FSP-060-002050,360 Cafe,1747 METROPOLITAN PKWY,ATLANTA,GA,30315,2014/01/27,74
1-18914,5 Seasons Brewing,5600 ROSWELL STE 21,ATLANTA,GA,30342,2014/07/21,84
1-29329,50 Yard Line Sport Bar,7490 OLD NATIONAL HWY STE 100,RIVERDALE,GA,30296,2014/09/16,91
1-29329,50 Yard Line Sport Bar,7490 OLD NATIONAL HWY STE 100,RIVERDALE,GA,30296,2014/04/04,96
1-31208,595 North,595 NORTH AVE NW,ATLANTA,GA,30318,2014/01/03,95
FSP-060-002474,600 Degrees Pizza,5415 OLD NATIONAL HWY,COLLEGE PARK,GA,30349,2014/09/16,92
FSP-060-002474,600 Degrees Pizza,5415 OLD NATIONAL HWY,COLLEGE PARK,GA,30349,2014/09/11,79
FSP-060-001550,7 Star Wings,4760 JONESBORO RD,UNION CITY,GA,30291,2014/11/03,91
FSP-060-001550,7 Star Wings,4760 JONESBORO RD,UNION CITY,GA,30291,2014/04/30,89
FSP-060-001450,730 Big Apple,730 PEACHTREE ST STE 110,ATLANTA,GA,30308,2014/03/05,90
(1-27),755 Club Auxilliary Bar,"755 HANK AARON DRIVE, S",ATLANTA,GA,30318,2014/06/04,94
(1-28),755 Club Main Bar,755 HANK AARON DR SE,ATLANTA,GA,30318,2014/06/04,96
FSP-060-000089,A & D Buffalos,6071 OLD NATIONAL HWY STE B,ATLANTA,GA,30349,2014/09/18,92
FSP-060-000089,A & D Buffalos,6071 OLD NATIONAL HWY STE B,ATLANTA,GA,30349,2014/04/01,93
FSP-060-001225,A Building Kitchen,285 ANDREW YOUNG INTERNATIONAL BLVD,ATLANTA,GA,30313,2014/03/27,100
(1-37),A G Rhodes Home Inc,350 BOULEVARD SE,ATLANTA,GA,30312,2014/06/24,95
FSP-060-001846,A Movable Feast,168 LUCKIE ST,ATLANTA,GA,30303,2014/07/14,87
1-31479,A Pantry,ONE PHILIPS DR,ATLANTA,GA,30303,2014/04/09,100
1-24385,A Royal Affair Cafe Inc,5920 ROSWELL RD STE D-205,ATLANTA,GA,30328,2014/01/17,99
1-24385,A Royal Affair Cafe Inc,5920 ROSWELL RD STE D-205,ATLANTA,GA,30328,2014/01/09,75
FSP-060-001363,A Taste Of The Island,3435 ROOSEVELT HWY STE 4,ATLANTA,GA,30349,2014/11/13,94
FSP-060-001363,A Taste Of The Island,3435 ROOSEVELT HWY STE 4,ATLANTA,GA,30349,2014/06/19,93
FSP-060-001885,A Town China Express,1660 DONAL LEE HOLLWELL PKWY,ATLANTA,GA,30318,2014/08/28,92
FSP-060-001885,A Town China Express,1660 DONAL LEE HOLLWELL PKWY,ATLANTA,GA,30318,2014/02/10,94
FSP-060-001885,A Town China Express,1660 DONAL LEE HOLLWELL PKWY,ATLANTA,GA,30318,2014/02/06,76
2-31512,A Town Wings,2644 METROPOLITAN PKWY,ATLANTA,GA,30315,2014/01/15,98
2-31512,A Town Wings,2644 METROPOLITAN PKWY,ATLANTA,GA,30315,2014/01/09,74
FSP-060-002138,ATown Wings,2480 FLAT SHOALS RD,ATLANTA,GA,30349,2014/10/09,95
FSP-060-002138,ATown Wings,2480 FLAT SHOALS RD,ATLANTA,GA,30349,2014/04/25,93
(1-41),A Phillip Randolph Elementary School,5320 CAMPBELLTON,ATLANTA,GA,30331,2014/09/29,99
(1-41),A Phillip Randolph Elementary School,5320 CAMPBELLTON,ATLANTA,GA,30331,2014/03/10,100
(1-43),Aa Synagogue Meat Kitchen,600 PEACHTREE BATTLE,ATLANTA,GA,30327,2014/05/08,100
(1-43),Aa Synagogue Meat Kitchen,600 PEACHTREE BATTLE,ATLANTA,GA,30327,2014/01/13,100
(1-44),Aa Synagogue Milk Kit,600 PEACHTREE BATTLE,ATLANTA,GA,30327,2014/05/08,100
(1-44),Aa Synagogue Milk Kit,600 PEACHTREE BATTLE,ATLANTA,GA,30327,2014/01/13,100
1-31969,Abattoir,1170 HOWELL MILL RD STE 100,ATLANTA,GA,30318,2014/01/02,100
1-16454,Abbotts Hill Elementary School,5575 ABBOTTS BRIDGE RD,DULUTH,GA,30097,2014/09/15,100
1-16454,Abbotts Hill Elementary School,5575 ABBOTTS BRIDGE RD,DULUTH,GA,30097,2014/01/22,100
FSP-060-001352,Abdullah The Butcher  Lopez Management Inc,2387 FAIRBURN RD,ATLANTA,GA,30331,2014/10/08,82
FSP-060-001352,Abdullah The Butcher  Lopez Management Inc,2387 FAIRBURN RD,ATLANTA,GA,30331,2014/04/02,84
FSP-060-001352,Abdullah The Butcher  Lopez Management Inc,2387 FAIRBURN RD,ATLANTA,GA,30331,2014/03/31,53
1-32146,Abdullah The Butcher Westend,854 OAK ST,ATLANTA,GA,30310,2014/12/10,79
FSP-060-001048,Absolute Bar Club,1 PHILIPS DR,ATLANTA,GA,30303,2014/04/09,99
1-29835,Acoustix Jazz Cafe,840 MARIETTA ST,ATLANTA,GA,30318,2014/01/10,99
1-29835,Acoustix Jazz Cafe,840 MARIETTA ST,ATLANTA,GA,30318,2014/01/03,76
1-31606,Actors Express,887 WEST MARIETTA ST STE J-107,ATLANTA,GA,30318,2014/03/13,100
1-23280,Adamsville Elementary School,286 WILSON MILL RD SW,ATLANTA,GA,30331,2014/09/12,96
1-23280,Adamsville Elementary School,286 WILSON MILL RD SW,ATLANTA,GA,30331,2014/03/05,100
2-31480,Adesa Diner,5055 OAKLEY INDUSTRIAL BLVD,FAIRBURN,GA,30213,2014/12/17,90
2-31480,Adesa Diner,5055 OAKLEY INDUSTRIAL BLVD,FAIRBURN,GA,30213,2014/04/09,99
2-31480,Adesa Diner,5055 OAKLEY INDUSTRIAL BLVD,FAIRBURN,GA,30213,2014/04/07,75
FSP-060-002780,Adrenaline Nutrition Source,11720 MEDLOCK BRIDGE RD,DULUTH,GA,30097,2014/10/16,96
FSP-060-001749,AFC Sushi,350 SPELMAN LN,ATLANTA,GA,30314,2014/04/09,100
FSP-060-000368,Africa Home Taste Restaurant,4841 OLD NATIONAL HWY,ATLANTA,GA,30337,2014/02/28,89
(1-54),Afro Dish,209 EDGEWOOD AVE STE 126,ATLANTA,GA,30303,2014/09/03,80
(1-54),Afro Dish,209 EDGEWOOD AVE STE 126,ATLANTA,GA,30303,2014/01/15,96
(1-54),Afro Dish,209 EDGEWOOD AVE STE 126,ATLANTA,GA,30303,2014/01/08,85
FSP-060-000244,Agora,3850 JONESBORO RD SE,ATLANTA,GA,30354,2014/12/12,98
FSP-060-000244,Agora,3850 JONESBORO RD SE,ATLANTA,GA,30354,2014/09/12,96
FSP-060-000986,Agora,3650 JONESBORO RD,ATLANTA,GA,30354,2014/12/12,93
FSP-060-000986,Agora,3650 JONESBORO RD,ATLANTA,GA,30354,2014/09/12,93
FSP-060-000986,Agora,3650 JONESBORO RD,ATLANTA,GA,30354,2014/01/10,94
FSP-060-000103,Airport View Restaurant,3670 GEORGIA AVE,HAPEVILLE,GA,30354,2014/11/05,93
FSP-060-000103,Airport View Restaurant,3670 GEORGIA AVE,HAPEVILLE,GA,30354,2014/01/17,93
1-31463,AJA Restaurant,3500 LENOX RD STE 100,ATLANTA,GA,30326,2014/08/21,94
