"sid","id","position","created_at","created_meta","updated_at","updated_meta","meta","business_id","name","date","score","human_address","latitude","longitude","machine_address","needs_recoding"
"1","C796404C-5023-414B-8C98-21A736C0B399","1","1434023263","897482","1434023263","897482",NA,"1-32000","cue","2014-06-19T00:00:00","96","{""address"":""13700 HIGHWAY 9 STE 300"",""city"":""MILTON"",""state"":""GA"",""zip"":""30004""}",34.1144566610001,-84.269298595,NA,"FALSE"
"2","801C9671-D524-4142-A062-FCDCF9CB4AA8","2","1434023263","897482","1434023263","897482",NA,"FSP-060-001693","1 Kept","2014-05-02T00:00:00","100","{""address"":""2293 PEACHTREE RD NE STE B"",""city"":""ATLANTA"",""state"":""GA"",""zip"":""30309""}",33.817046428,-84.38957881,NA,"FALSE"
"3","730C82CA-A9AE-42B9-95DF-235F53F1C5D3","3","1434023263","897482","1434023263","897482",NA,"FSP-060-001631","10","2014-06-24T00:00:00","88","{""address"":""990 PIEDMONT AVE"",""city"":""ATLANTA"",""state"":""GA"",""zip"":""30309""}",33.7815503090001,-84.3805420209999,NA,"FALSE"
"4","B18D53F7-A0D4-4524-8AD7-ABC8C235977E","4","1434023263","897482","1434023263","897482",NA,"FSP-060-001631","10","2014-01-02T00:00:00","91","{""address"":""990 PIEDMONT AVE"",""city"":""ATLANTA"",""state"":""GA"",""zip"":""30309""}",33.7815503090001,-84.3805420209999,NA,"FALSE"
"5","0743C4F2-9C4C-44C4-9215-1AAC5967E745","5","1434023263","897482","1434023263","897482",NA,"FSP-060-001991","10 Degrees South","2014-05-12T00:00:00","99","{""address"":""4183 ROSWELL RD"",""city"":""ATLANTA"",""state"":""GA"",""zip"":""30342""}",33.8684360140001,-84.3810304519999,NA,"FALSE"
"6","EC6DF9FD-9E47-4020-94B2-0BD45D7E6F8E","6","1434023263","897482","1434023263","897482",NA,"(1-4)","103 West Lounge","2014-12-12T00:00:00","100","{""address"":""103 WEST PACES FERRY RD"",""city"":""ATLANTA"",""state"":""GA"",""zip"":""30318""}",33.7905013910001,-84.441029274,NA,"FALSE"
"7","AD1426E1-38DF-40B6-A4C0-145590981737","7","1434023263","897482","1434023263","897482",NA,"(1-4)","103 West Lounge","2014-02-19T00:00:00","98","{""address"":""103 WEST PACES FERRY RD"",""city"":""ATLANTA"",""state"":""GA"",""zip"":""30318""}",33.7905013910001,-84.441029274,NA,"FALSE"
"8","83D7126A-9510-4E54-B144-BC74A777AA24","8","1434023263","897482","1434023263","897482",NA,"(1-5)","103 West Restaurant","2014-12-22T00:00:00","100","{""address"":""103 WEST PACES FERRY RD"",""city"":""ATLANTA"",""state"":""GA"",""zip"":""30318""}",33.7905013910001,-84.441029274,NA,"FALSE"
"9","6F5ED2E2-0C3A-42DE-A1E3-7EC95CEF4985","9","1434023263","897482","1434023263","897482",NA,"(1-5)","103 West Restaurant","2014-12-12T00:00:00","83","{""address"":""103 WEST PACES FERRY RD"",""city"":""ATLANTA"",""state"":""GA"",""zip"":""30318""}",33.7905013910001,-84.441029274,NA,"FALSE"
"10","A39CADA0-2028-4A13-9965-1F459AC7E8C2","10","1434023263","897482","1434023263","897482",NA,"(1-5)","103 West Restaurant","2014-02-19T00:00:00","93","{""address"":""103 WEST PACES FERRY RD"",""city"":""ATLANTA"",""state"":""GA"",""zip"":""30318""}",33.7905013910001,-84.441029274,NA,"FALSE"
"11","E248A514-E4C3-434B-9F61-F0CC22EE10A2","11","1434023263","897482","1434023263","897482",NA,"1-916","112 MegaPlex The Crowes Nest","2014-12-22T00:00:00","95","{""address"":""5495 OLD NATIONAL HWY STE B-13"",""city"":""COLLEGE PARK"",""state"":""GA"",""zip"":""30349""}",33.6060133730001,-84.471584478,NA,"FALSE"
"12","FC01B703-2696-41D7-9B75-898595225ACC","12","1434023263","897482","1434023263","897482",NA,"1-916","112 MegaPlex The Crowes Nest","2014-05-02T00:00:00","99","{""address"":""5495 OLD NATIONAL HWY STE B-13"",""city"":""COLLEGE PARK"",""state"":""GA"",""zip"":""30349""}",33.6060133730001,-84.471584478,NA,"FALSE"
"13","4B182EFE-5B56-413F-BE3F-843F8BC4FB0E","13","1434023263","897482","1434023263","897482",NA,"1-916","112 MegaPlex The Crowes Nest","2014-04-25T00:00:00","66","{""address"":""5495 OLD NATIONAL HWY STE B-13"",""city"":""COLLEGE PARK"",""state"":""GA"",""zip"":""30349""}",33.6060133730001,-84.471584478,NA,"FALSE"
"14","C83E6CB3-73E1-4C58-8B47-47F89553CF67","14","1434023263","897482","1434023263","897482",NA,"(2-31768)","180 Degrees Kitchen","2014-09-18T00:00:00","98","{""address"":""1300 JOSEPH E. BOONE BLVD"",""city"":""ATLANTA"",""state"":""GA"",""zip"":""30314""}",33.7635136420001,-84.4303701439999,NA,"FALSE"
"15","97702A2E-B16D-4C90-95C3-46210D635D72","15","1434023263","897482","1434023263","897482",NA,"(2-31768)","180 Degrees Kitchen","2014-06-24T00:00:00","91","{""address"":""1300 JOSEPH E. BOONE BLVD"",""city"":""ATLANTA"",""state"":""GA"",""zip"":""30314""}",33.7635136420001,-84.4303701439999,NA,"FALSE"
"16","72B80D0E-8B1C-4D94-9DE6-DB0707019164","16","1434023263","897482","1434023263","897482",NA,"(1-13)","1st Methodist Church","2014-02-10T00:00:00","96","{""address"":""360 PEACHTREE ST N"",""city"":""ATLANTA"",""state"":""GA"",""zip"":""30308""}",33.7644066600001,-84.385857497,NA,"FALSE"
"17","13A4CAA5-995F-4FAD-8B5B-0B0FBA54BAF5","17","1434023263","897482","1434023263","897482",NA,"1-31657","2 Mato","2014-05-16T00:00:00","97","{""address"":""200 PIEDMONT AVE"",""city"":""ATLANTA"",""state"":""GA"",""zip"":""30334""}",33.745891219,-84.387689987,NA,"FALSE"
"18","DB8F221E-D214-48AF-8353-D3DC0356B70E","18","1434023263","897482","1434023263","897482",NA,"1-31004","255 Peters St Lounge","2014-06-19T00:00:00","99","{""address"":""255 PETERS ST"",""city"":""ATLANTA"",""state"":""GA"",""zip"":""30313""}",33.747562579,-84.401612007,NA,"FALSE"
"19","5CE7B16E-FD43-44E9-93B4-B7295B509157","19","1434023263","897482","1434023263","897482",NA,"1-31004","255 Peters St Lounge","2014-06-11T00:00:00","77","{""address"":""255 PETERS ST"",""city"":""ATLANTA"",""state"":""GA"",""zip"":""30313""}",33.747562579,-84.401612007,NA,"FALSE"
"20","01CDB632-A052-4D9C-B2C8-A736FE3AC75B","20","1434023263","897482","1434023263","897482",NA,"1-26637","285 West Soul Food","2014-12-09T00:00:00","85","{""address"":""2636 MARTIN LUTHER KING JR. DR STE 10"",""city"":""ATLANTA"",""state"":""GA"",""zip"":""30311""}",33.753837205,-84.473985151,NA,"FALSE"
"21","DE2B650A-19B7-4408-A467-D1925673BF1E","21","1434023263","897482","1434023263","897482",NA,"1-26637","285 West Soul Food","2014-05-21T00:00:00","98","{""address"":""2636 MARTIN LUTHER KING JR. DR STE 10"",""city"":""ATLANTA"",""state"":""GA"",""zip"":""30311""}",33.753837205,-84.473985151,NA,"FALSE"
"22","E19ECB58-B808-4F9E-B77E-64AAC3722968","22","1434023263","897482","1434023263","897482",NA,"1-26637","285 West Soul Food","2014-05-19T00:00:00","78","{""address"":""2636 MARTIN LUTHER KING JR. DR STE 10"",""city"":""ATLANTA"",""state"":""GA"",""zip"":""30311""}",33.753837205,-84.473985151,NA,"FALSE"
"23","7D3228C3-7603-4580-BCEF-36D7CE439803","23","1434023263","897482","1434023263","897482",NA,"1-32045","2nd Floor Atrium","2014-07-10T00:00:00","100","{""address"":""250 SPRING ST"",""city"":""ATLANTA"",""state"":""GA"",""zip"":""30303""}",33.761421098,-84.389053927,NA,"FALSE"
"24","C95B70D9-BF6D-4943-8E7F-BC8823D5C18E","24","1434023263","897482","1434023263","897482",NA,"1-32045","2nd Floor Atrium","2014-01-09T00:00:00","100","{""address"":""250 SPRING ST"",""city"":""ATLANTA"",""state"":""GA"",""zip"":""30303""}",33.761421098,-84.389053927,NA,"FALSE"
"25","53046ED0-71E1-4A34-B3EE-5EF0709EBA87","25","1434023263","897482","1434023263","897482",NA,"FSP-060-000978","3 Brothers Catering and EventsLLC","2014-10-08T00:00:00","95","{""address"":""11670 JONES BRIDGE RD STE A"",""city"":""ALPHARETTA"",""state"":""GA"",""zip"":""30005""}",34.0650738580001,-84.2124471499999,NA,"FALSE"
"26","F7B7C38B-5754-4362-A765-E7747E31DF15","26","1434023263","897482","1434023263","897482",NA,"FSP-060-000437","3376 Peachtree Road Atlanta Hotel LL IncEmployee Kitchen","2014-12-12T00:00:00","95","{""address"":""3376 PEACHTREE RD"",""city"":""ATLANTA"",""state"":""GA"",""zip"":""30326""}",33.848794019,-84.366216854,NA,"FALSE"
"27","EBDB6316-F7BE-4C79-B76C-D65815AF6454","27","1434023263","897482","1434023263","897482",NA,"FSP-060-000437","3376 Peachtree Road Atlanta Hotel LL IncEmployee Kitchen","2014-05-07T00:00:00","87","{""address"":""3376 PEACHTREE RD"",""city"":""ATLANTA"",""state"":""GA"",""zip"":""30326""}",33.848794019,-84.366216854,NA,"FALSE"
"28","2041218C-3854-46B7-88A4-9CBA28AD8518","28","1434023263","897482","1434023263","897482",NA,"FSP-060-000439","3376 Peachtree RoadAtlanta Hotel LL IncBanquet Hall","2014-12-12T00:00:00","99","{""address"":""3376 PEACHTREE RD"",""city"":""ATLANTA"",""state"":""GA"",""zip"":""30326""}",33.848794019,-84.366216854,NA,"FALSE"
"29","416CA030-A794-4426-BFE5-40932C6812DF","29","1434023263","897482","1434023263","897482",NA,"FSP-060-000439","3376 Peachtree RoadAtlanta Hotel LL IncBanquet Hall","2014-05-07T00:00:00","90","{""address"":""3376 PEACHTREE RD"",""city"":""ATLANTA"",""state"":""GA"",""zip"":""30326""}",33.848794019,-84.366216854,NA,"FALSE"
